12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400,12400
11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873,11873
11257,11256,11256,11256,11256,11256,11256,11256,11256,11256,11256,11256,11256,11257,11256,11257,11256,11256,11256,11256,11256,11256,11256,11256,11256,11258,11260,11258,11257,11257,11257,11256,11256,11256
10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637
12518,12518,12518,12518,12518,12518,12518,12519,12519,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518,12518
11642,11642,11643,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642,11642
13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410,13410
11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11919,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918
14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518,14518
13646,13646,13646,13646,13646,13645,13646,13646,13645,13645,13645,13645,13645,13645,13645,13645,13645,13645,13645,13645,13645,13645,13646,13646,13646,13646,13646,13646,13646,13645,13646,13645,13645,13645
10703,10703,10703,10703,10703,10704,10704,10704,10703,10703,10703,10703,10703,10703,10703,10703,10704,10703,10704,10703,10704,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703,10703
11542,11542,11543,11543,11544,11543,11542,11543,11542,11542,11543,11543,11543,11543,11542,11542,11542,11542,11542,11542,11542,11542,11542,11542,11542,11542,11542,11544,11544,11543,11543,11543,11543,11543
11813,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11813,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812,11812
12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401,12401
10363,10364,10364,10363,10363,10363,10363,10363,10362,10362,10362,10363,10363,10363,10363,10363,10363,10363,10363,10363,10363,10363,10363,10363,10363,10363,10362,10362,10362,10362,10362,10362,10362,10365
13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928,13928
13365,13365,13365,13365,13365,13365,13365,13365,13365,13365,13365,13365,13365,13365,13365,13365,13365,13366,13366,13366,13366,13366,13366,13366,13366,13366,13366,13365,13365,13365,13365,13365,13365,13365
11528,11528,11528,11528,11528,11528,11529,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528,11528
12989,12989,12989,12989,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990
11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697,11697
10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375,10375
11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872,11872
11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716,11716
12024,12024,12024,12024,12024,12023,12024,12024,12024,12024,12024,12024,12024,12024,12024,12024,12024,12024,12023,12024,12024,12024,12024,12024,12024,12024,12024,12024,12024,12024,12023,12023,12024,12024
13273,13273,13273,13273,13273,13272,13272,13272,13273,13272,13272,13272,13272,13272,13272,13272,13273,13272,13272,13272,13272,13273,13272,13272,13272,13272,13272,13273,13276,13277,13275,13274,13274,13273
12079,12078,12078,12078,12079,12079,12078,12078,12078,12079,12079,12079,12079,12079,12079,12079,12078,12079,12079,12079,12079,12079,12079,12079,12079,12079,12079,12079,12079,12079,12079,12078,12079,12079
12965,12965,12966,12966,12965,12966,12966,12966,12966,12965,12966,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965,12965
11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594,11594
