12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914,12914
12837,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12837,12837,12837,12837,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836,12836
12635,12634,12634,12634,12635,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12634,12633,12633,12633,12634
12571,12571,12571,12571,12571,12571,12571,12571,12571,12572,12572,12571,12571,12571,12571,12571,12571,12571,12572,12572,12571,12571,12571,12571,12571,12571,12571,12571,12572,12572,12571,12571,12571,12571
12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12772,12769,12770,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769,12769
12158,12159,12158,12157,12157,12157,12156,12156,12156,12156,12156,12156,12156,12156,12158,12157,12157,12157,12156,12156,12156,12157,12156,12156,12156,12156,12157,12158,12157,12156,12157,12157,12156,12156
12954,12954,12954,12954,12954,12954,12954,12954,12954,12958,12954,12955,12955,12954,12954,12954,12954,12955,12955,12955,12955,12954,12954,12954,12954,12954,12954,12954,12954,12954,12954,12954,12954,12954
12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795,12795
14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14595,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14594,14593,14593
13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662,13662
11580,11580,11580,11580,11581,11582,11581,11581,11580,11581,11580,11580,11580,11579,11580,11580,11580,11580,11579,11582,11581,11580,11580,11580,11580,11580,11579,11580,11580,11579,11579,11580,11579,11579
12273,12272,12273,12272,12272,12273,12272,12273,12272,12272,12272,12272,12272,12272,12273,12276,12274,12274,12274,12274,12273,12272,12272,12273,12274,12274,12273,12272,12272,12273,12273,12274,12274,12273
12201,12201,12201,12201,12202,12201,12201,12201,12201,12201,12201,12201,12201,12204,12202,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12201,12204,12202
